Name,Market_cap,Price,Change(24)
Castweet,"$5,246,928",$3.02,1.44%
Wagerr,"$5,219,222",$0.027476,1.94%
Ubiq,"$5,191,291",$0.121835,8.46%
Ferrum Network,"$5,190,733",$0.037937,-4.17%
Leverj,"$5,148,564",$0.043598,-79.58%
Egretia,"$5,145,587",$0.001220,3.98%
Clipper Coin,"$5,122,357",$0.001729,0.00%
Revain,"$5,090,953",$0.010622,-0.08%
Lightning Bitcoin,"$5,090,278",$1.32,0.42%
Genesis Vision,"$5,087,774",$1.15,0.95%
Metronome,"$5,081,682",$0.476014,-3.03%
SALT,"$5,057,672",$0.062998,4.35%
HorusPay,"$5,026,401",$0.005759,0.15%
NPCoin,"$5,015,829",$0.069225,-7.54%
CryptoFranc,"$5,002,992",$1.06,-0.77%
Compound Coin,"$4,959,408",$0.000092,-0.47%
GameCredits,"$4,946,240",$0.070826,-13.90%
OTOCASH,"$4,922,142",$0.230914,-16.51%
XTRABYTES,"$4,875,013",$0.011337,-8.08%
FOAM,"$4,858,959",$0.016149,-3.79%
Viacoin,"$4,838,615",$0.208836,3.90%
Bitcoin Rhodium,"$4,811,722",$4.93,3.37%
QLC Chain,"$4,785,288",$0.019939,2.51%
Robotina,"$4,773,612",$0.015715,-0.27%
0Chain,"$4,760,946",$0.118676,11.95%
INT Chain,"$4,739,580",$0.010543,1.02%
qiibee,"$4,732,300",$0.006461,-0.25%
BackPacker Coin,"$4,728,637",$1.02,0.96%
YOYOW,"$4,695,566",$0.009779,0.41%
Sense,"$4,683,841",$0.009205,2.74%
Metrix Coin,"$4,666,293",$0.000266,6.24%
Blox,"$4,637,287",$0.006874,0.63%
ECC,"$4,614,972",$0.000185,95.46%
district0x,"$4,605,133",$0.007675,5.01%
Safe Haven,"$4,599,755",$0.001530,3.88%
KardiaChain,"$4,566,042",$0.004069,10.09%
LinkEye,"$4,543,597",$0.005609,-1.76%
AppCoins,"$4,536,111",$0.042164,0.62%
StakeCubeCoin,"$4,526,353",$0.658712,-9.09%
Aeron,"$4,525,776",$0.226425,-1.17%
Measurable Data Token,"$4,518,454",$0.012080,-2.34%
Ternio,"$4,458,811",$0.007783,1.71%
BLOCKv,"$4,443,416",$0.001486,-4.14%
SwftCoin,"$4,431,951",$0.001107,4.54%
DAPS Coin,"$4,429,389",$0.000084,-1.76%
Hydro Protocol,"$4,394,202",$0.006260,-0.13%
VNDC,"$4,380,943",$0.000043,0.11%
OAX,"$4,373,533",$0.058850,-0.33%
High Performance Blockchain,"$4,362,127",$0.100003,0.43%
USDJ,"$4,292,802",$0.997934,-0.02%
Gulden,"$4,289,632",$0.008307,3.59%
FLO,"$4,274,822",$0.028059,2.98%
SymVerse,"$4,274,745",$0.063832,-4.67%
POA,"$4,246,756",$0.015320,9.19%
Ergo,"$4,229,334",$0.249040,-3.39%
SmartCash,"$4,208,924",$0.002977,0.24%
Auctus,"$4,172,869",$0.131199,-2.82%
doc.com Token,"$4,166,778",$0.005479,-1.02%
TokenClub,"$4,160,369",$0.007626,-1.22%
Observer,"$4,113,759",$0.001792,-0.08%
Jarvis Network,"$4,098,810",$0.141310,5.92%
bitCNY,"$4,088,084",$0.142935,-0.16%
DigitalBits,"$4,081,791",$0.011912,1.19%
Digital Asset Guarantee Token,"$4,061,290",$0.122698,-0.38%
Cloudbric,"$4,061,181",$0.007254,-0.28%
Sentivate,"$4,060,065",$0.001683,1.45%
MediShares,"$4,046,581",$0.003542,5.15%
Nasdacoin,"$4,045,132",$0.180640,4.69%
VIBE,"$4,033,780",$0.015506,5.32%
BABB,"$4,030,819",$0.000111,-5.20%
GHOSTPRISM,"$4,026,737",$1.78,-0.20%
Bitrue Coin,"$4,020,177",$0.073541,30.69%
Zel,"$3,994,217",$0.036790,1.57%
Covesting,"$3,992,402",$0.221800,6.13%
Everus,"$3,987,356",$0.008584,2.42%
MESEFA,"$3,956,359",$9.19,0.27%
LockTrip,"$3,912,875",$0.261693,-2.75%
KARMA,"$3,897,876",$0.000715,0.06%
SunContract,"$3,896,829",$0.031757,5.27%
DATA,"$3,888,724",$0.000338,0.42%
Polybius,"$3,881,462",$0.977805,1.14%
Lykke,"$3,872,403",$0.012223,0.48%
ProximaX,"$3,824,475",$0.000627,0.78%
TE-FOOD,"$3,818,880",$0.007292,8.69%
Jibrel Network,"$3,813,966",$0.022418,-2.84%
Etherparty,"$3,783,315",$0.003783,3.85%
VeriDocGlobal,"$3,770,833",$0.000439,0.30%
SONM,"$3,682,565",$0.010241,-0.50%
Incent,"$3,652,309",$0.079369,-1.04%
Earneo,"$3,633,904",$0.008892,-3.13%
Vid,"$3,585,025",$0.129928,9.52%
Selfkey,"$3,581,575",$0.001155,1.11%
Agrello,"$3,565,895",$0.041474,1.97%
Odyssey,"$3,531,333",$0.000441,6.19%
OneRoot Network,"$3,505,511",$0.012340,4.34%
Ondori,"$3,485,859",$0.000092,0.22%
Bitcore,"$3,470,351",$0.194465,-1.27%
BlockStamp,"$3,455,266",$0.130748,21.88%
Matrix AI Network,"$3,454,689",$0.016121,5.03%
VeriBlock,"$3,435,556",$0.005443,5.53%
Monetha,"$3,409,344",$0.008473,0.26%
Tripio,"$3,408,799",$0.000909,1.62%
Flash,"$3,405,849",$0.003784,10.39%
LINKA,"$3,405,432",$0.004906,-10.09%
GET Protocol,"$3,399,183",$0.298481,-5.32%
Hi Mutual Society,"$3,394,137",$0.008399,0.22%
BitCapitalVendor,"$3,379,243",$0.003513,1.71%
ColossusXT,"$3,352,011",$0.000276,0.02%
ZrCoin,"$3,338,994",$0.669285,0.12%
Viberate,"$3,331,918",$0.017249,1.41%
EURBASE,"$3,318,717",$1.15,0.19%
Red Pulse Phoenix,"$3,289,646",$0.003965,5.04%
MVL,"$3,281,820",$0.000393,-0.29%
CanonChain,"$3,275,860",$0.005627,-3.54%
Etheroll,"$3,272,524",$0.467395,-3.32%
Insights Network,"$3,268,843",$0.016614,8.74%
Lamden,"$3,222,644",$0.022660,47.29%
BOX Token,"$3,218,809",$0.032314,-4.56%
BitTube,"$3,208,144",$0.011679,0.12%
HTMLCOIN,"$3,185,750",$0.000060,6.98%
Morpheus Labs,"$3,184,240",$0.009140,1.48%
QunQun,"$3,155,353",$0.004328,0.31%
DigitalNote,"$3,136,259",$0.000646,20.24%
GoCrypto Token,"$3,121,136",$0.015350,-2.39%
JD Coin,"$3,120,565",$0.102807,8.08%
BitGreen,"$3,107,734",$0.280862,-2.81%
Dentacoin,"$3,086,446",$0.000004,-6.81%
CargoX,"$3,084,203",$0.019493,-3.64%
Global Social Chain,"$3,081,233",$0.005530,5.01%
CUTcoin,"$3,071,453",$0.029074,4.94%
PCHAIN,"$3,070,878",$0.003959,7.69%
Precium,"$3,064,057",$0.004556,0.04%
Kryll,"$3,062,888",$0.105615,-2.12%
DOS Network,"$3,042,863",$0.008801,33.97%
Lunyr,"$3,031,832",$1.32,5.53%
VINchain,"$2,987,958",$0.005063,8.86%
Cryptocean,"$2,980,109",$0.363239,4.31%
Credo,"$2,968,141",$0.005398,0.00%
BaaSid,"$2,962,208",$0.000592,0.26%
Hiveterminal Token,"$2,920,742",$0.005841,2.02%
Baz Token,"$2,890,174",$2.65,-11.51%
ContentBox,"$2,889,247",$0.003098,-2.20%
PlatonCoin,"$2,884,463",$0.489260,2.35%
Cosmo Coin,"$2,860,519",$0.004264,37.94%
Blockmason Credit Protocol,"$2,852,219",$0.024555,2.27%
NIX,"$2,850,941",$0.065925,-1.37%
Bitcoin Atom,"$2,833,995",$0.153863,2.08%
OKCash,"$2,817,088",$0.037348,0.11%
Newscrypto,"$2,808,128",$0.029487,-14.43%
NAGA,"$2,807,252",$0.039011,-3.11%
Hydro,"$2,789,669",$0.000253,5.02%
Edge,"$2,785,061",$0.027851,-8.38%
Verasity,"$2,776,450",$0.000715,2.17%
Paypex,"$2,743,458",$0.040092,1.16%
Sentinel,"$2,724,943",$0.001362,-0.99%
Swarm,"$2,722,325",$0.034817,35.26%
Netbox Coin,"$2,721,510",$0.048672,94.45%
Xaurum,"$2,718,638",$0.038190,-3.47%
Presearch,"$2,704,670",$0.016013,-2.34%
BQT,"$2,702,743",$0.004634,90.85%
BitMart Token,"$2,677,105",$0.015594,1.34%
Emercoin,"$2,647,202",$0.057633,3.68%
TrueFlip,"$2,641,880",$0.422886,-2.73%
EOSDT,"$2,637,193",$0.997990,-0.13%
Tokoin,"$2,625,258",$0.014694,0.18%
Phore,"$2,624,514",$0.122655,8.12%
Genaro Network,"$2,611,350",$0.010119,-3.03%
Color Platform,"$2,595,595",$0.018914,31.75%
PumaPay,"$2,586,876",$0.000098,-7.84%
Bloom,"$2,580,344",$0.048102,-5.77%
EOS Force,"$2,529,965",$0.002624,1.19%
Constant,"$2,527,029",$49.84,0.00%
Cashaa,"$2,523,851",$0.004302,-26.19%
USDx stablecoin,"$2,506,058",$1.00,-0.12%
NativeCoin,"$2,492,100",$0.105731,30.95%
CEEK VR,"$2,483,947",$0.004256,-37.63%
Feathercoin,"$2,477,704",$0.008723,5.62%
Counterparty,"$2,446,394",$0.935409,1.45%
DeepBrain Chain,"$2,445,249",$0.000764,3.25%
FarmaTrust,"$2,444,004",$0.004073,0.00%
IPChain,"$2,436,286",$0.030035,0.00%
Futurepia,"$2,434,497",$0.002713,0.00%
apM Coin,"$2,415,684",$0.048208,-0.29%
Tidex Token,"$2,413,464",$0.253916,-1.37%
Fast Access Blockchain,"$2,405,465",$0.084938,37.36%
Litecoin Cash,"$2,395,316",$0.003509,2.99%
Cryptopay,"$2,378,703",$0.034792,18.74%
Lympo,"$2,377,508",$0.002876,2.33%
Vipstar Coin,"$2,374,142",$0.000049,-3.21%
Litex,"$2,367,273",$0.002367,3.79%
RSK Smart Bitcoin,"$2,354,062","$9,192.57",0.19%
Nucleus Vision,"$2,329,482",$0.000338,0.46%
MIR COIN,"$2,300,058",$0.002946,2.47%
Pluton,"$2,299,795",$2.71,5.11%
Refereum,"$2,290,361",$0.000458,2.20%
NaPoleonX,"$2,287,399",$0.094054,11.63%
Phantasma,"$2,287,045",$0.040448,0.92%
Mysterium,"$2,284,180",$0.096402,21.42%
Esportbits,"$2,275,064",$0.098858,-1.07%
YEE,"$2,267,803",$0.001661,-0.32%
Spectrecoin,"$2,265,292",$0.086311,-0.58%
Content Neutrality Network,"$2,252,866",$0.000058,0.16%
Humanscape,"$2,228,365",$0.004712,-3.82%
Global Cryptocurrency,"$2,222,771",$0.001754,4.34%
DECOIN,"$2,216,136",$0.044119,-26.15%
Themis,"$2,215,658",$0.003693,1.81%
PIBBLE,"$2,213,579",$0.000136,13.70%
pEOS,"$2,212,188",$0.002671,0.03%
AmonD,"$2,207,020",$0.002769,-8.89%
Skrumble Network,"$2,203,909",$0.002157,3.29%
Datamine,"$2,203,445",$0.130561,-11.85%
INLOCK,"$2,198,201",$0.001860,0.74%
smARTOFGIVING,"$2,185,977",$0.029628,-2.49%
TERA,"$2,173,970",$0.002574,4.86%
Aryacoin,"$2,169,571",$0.013521,-5.91%
Rublix,"$2,148,273",$0.103375,-0.99%
Spendcoin,"$2,147,943",$0.000944,-0.57%
IntelliShare,"$2,147,176",$0.007724,-0.13%
SIX,"$2,128,195",$0.007773,-5.38%
LNX Protocol,"$2,110,212",$0.007769,-0.12%
CanYaCoin,"$2,107,337",$0.021991,2.02%
ZVCHAIN,"$2,092,384",$0.002996,-0.13%
Myriad,"$2,088,326",$0.001200,4.45%
BOLT,"$2,073,326",$0.002092,4.69%
MintCoin,"$2,069,912",$0.000083,-4.25%
Nyzo,"$2,060,171",$0.172838,-15.13%
Blackmoon,"$2,059,107",$0.038132,-1.33%
TokenPay,"$2,057,997",$0.096521,0.73%
Adshares,"$2,006,502",$0.057552,11.51%
Cube,"$1,977,228",$0.000292,-2.62%
Ixcoin,"$1,973,173",$0.093414,0.00%
Vexanium,"$1,961,191",$0.002786,0.43%
BidiPass,"$1,955,335",$0.007737,-0.37%
Infinitecoin,"$1,951,413",$0.000022,-44.05%
Midas,"$1,946,862",$1.45,0.70%
Nuggets,"$1,945,114",$0.001128,32.59%
Realio Network,"$1,941,354",$0.274432,-6.89%
Mobius,"$1,930,020",$0.003747,-1.03%
SINOVATE,"$1,914,815",$0.002885,-1.65%
Unification,"$1,911,920",$0.055503,0.44%
Bottos,"$1,909,030",$0.003496,9.62%
Credit Tag Chain,"$1,908,208",$0.031938,0.00%
Wowbit,"$1,905,240",$0.006859,0.00%
Pundi X NEM,"$1,902,440",$0.000103,-3.60%
Era Swap,"$1,896,162",$0.096633,0.07%
Artfinity,"$1,895,209",$0.015199,2.73%
GridCoin,"$1,891,384",$0.004707,0.42%
AMLT,"$1,890,522",$0.007572,20.75%
Loopring [NEO],"$1,884,371",$0.016587,0.72%
Change,"$1,882,506",$0.095687,-10.03%
Teloscoin,"$1,881,123",$0.012149,-8.22%
MargiX,"$1,873,530",$0.015819,-0.04%
Beaxy,"$1,860,429",$0.006961,-7.30%
Sharder,"$1,857,582",$0.006557,1.45%
carVertical,"$1,847,874",$0.000242,-13.97%
Cryptaur,"$1,846,855",$0.000149,2.55%
PegNet,"$1,846,661",$0.001006,-5.24%
Bitex Global XBX Coin,"$1,845,019",$0.009287,-2.34%
Cajutel,"$1,844,285",$1.36,0.14%
BlackCoin,"$1,842,115",$0.030671,-3.04%
Naka Bodhi Token,"$1,837,044",$0.030617,4.87%
Trade Token X,"$1,834,065",$0.021521,0.00%
EXMO Coin,"$1,831,136",$0.002556,2.36%
VNT Chain,"$1,828,940",$0.000675,-0.24%
Radium,"$1,807,613",$0.446277,-0.06%
Sparkpoint,"$1,795,804",$0.000269,1.13%
Zipper,"$1,795,628",$0.000111,2.04%
PolySwarm,"$1,785,122",$0.001154,1.29%
Yap Stone,"$1,781,047",$0.011874,-3.92%
Scry.info,"$1,775,339",$0.004034,3.75%
SyncFab,"$1,773,185",$0.007544,2.48%
Unikoin Gold,"$1,764,666",$0.011812,-1.47%
Databroker,"$1,747,643",$0.022706,13.98%
Lition,"$1,747,340",$0.049163,-0.47%
Casino Betting Coin,"$1,746,974",$0.011208,-1.30%
X8X Token,"$1,741,363",$0.021563,4.37%
Cardstack,"$1,727,793",$0.000733,10.10%
ChatCoin,"$1,708,713",$0.002476,1.31%
Isiklar Coin,"$1,705,125",$0.723663,-2.02%
Stealth,"$1,702,037",$0.046909,-2.32%
PotCoin,"$1,696,855",$0.007569,-1.00%
Maincoin,"$1,695,265",$0.005483,-9.83%
ProChain,"$1,689,795",$0.033796,0.00%
ZClassic,"$1,678,461",$0.189244,2.56%
Rotharium,"$1,671,755",$0.497951,-0.32%
Penta,"$1,670,418",$0.000079,1.22%
Fatcoin,"$1,669,515",$0.013286,1.82%
WPP TOKEN,"$1,653,452",$0.004781,-6.25%
CoTrader,"$1,648,955",$0.000105,-1.38%
Airbloc,"$1,641,290",$0.006503,-0.18%
Pivot Token,"$1,634,817",$0.000318,1.16%
Trias,"$1,628,322",$0.000708,-1.53%
BetProtocol,"$1,608,184",$0.000881,-1.89%
Boolberry,"$1,599,381",$0.121097,0.21%
Eterbase Coin,"$1,593,509",$0.001624,-4.60%
Apex,"$1,591,523",$0.003076,-6.94%
THEKEY,"$1,584,258",$0.000255,4.22%
bitUSD,"$1,578,986",$0.823315,0.00%
Origin Sport,"$1,575,644",$0.005252,-4.60%
GoWithMi,"$1,564,391",$0.000574,31.70%
FansTime,"$1,551,321",$0.000544,5.55%
Blue Whale EXchange,"$1,546,011",$0.035564,1.99%
OneLedger,"$1,541,147",$0.003785,-0.42%
Spectre.ai Utility Token,"$1,539,310",$0.062753,0.00%
VeriCoin,"$1,530,035",$0.046519,-0.51%
Kuai Token,"$1,513,652",$0.142324,0.22%
Crown,"$1,512,661",$0.060308,-4.72%
Abyss Token,"$1,508,734",$0.006599,-14.40%
Snetwork,"$1,506,836",$0.007249,-1.13%
1World,"$1,506,557",$0.061102,0.26%
nOS,"$1,496,526",$0.014600,2.31%
Chrono.tech,"$1,491,716",$2.10,1.40%
MenaPay,"$1,489,175",$0.011176,1.52%
Smartlands,"$1,488,826",$0.291875,4.60%
DEX,"$1,485,057",$0.007753,0.22%
Restart Energy MWAT,"$1,482,535",$0.003275,2.91%
Flowchain,"$1,471,515",$1.96,1.57%
UCA Coin,"$1,468,168",$0.001750,14.76%
NewYorkCoin,"$1,453,692",$0.000010,0.90%
DAOBet,"$1,451,664",$0.008679,10.70%
Xaya,"$1,448,044",$0.033179,2.00%
MultiVAC,"$1,444,207",$0.000310,-0.93%
BOOM,"$1,428,732",$0.001825,0.11%
Mcashchain,"$1,427,467",$0.001954,-4.77%
Vetri,"$1,419,977",$0.004510,0.00%
Sumokoin,"$1,417,191",$0.060139,1.33%
Peerplays,"$1,408,994",$0.313003,0.23%
WeOwn,"$1,398,550",$0.014025,4.79%
Bidesk,"$1,385,857",$0.173721,7.93%
Primas,"$1,378,727",$0.026165,5.99%
REAL,"$1,375,827",$0.136819,0.00%
Callisto Network,"$1,374,327",$0.000537,-3.33%
Howdoo,"$1,372,530",$0.014031,34.81%
ParkinGo,"$1,368,177",$0.068037,68.62%
Colu Local Network,"$1,365,171",$0.013675,0.00%
Bean Cash,"$1,362,972",$0.000369,-19.56%
ZumCoin,"$1,359,455",$0.001375,-1.20%
DAEX,"$1,357,618",$0.003828,0.86%
WinCash,"$1,357,188",$0.904922,2.10%
Caspian,"$1,354,132",$0.003016,4.33%
CoinDeal Token,"$1,350,998",$0.028762,0.40%
Curecoin,"$1,340,127",$0.054497,0.27%
Gleec,"$1,333,009",$0.106114,-13.95%
Denarius,"$1,332,545",$0.181092,-3.13%
Spiking,"$1,330,493",$0.003004,16.33%
Krios,"$1,326,992",$0.006237,6.56%
Pascal,"$1,318,239",$0.041123,-0.90%
Liquidity Network,"$1,308,987",$0.024543,-5.59%
Remme,"$1,303,309",$0.001380,1.92%
Hubii Network,"$1,299,082",$0.083890,8.94%
Winding Tree,"$1,298,876",$0.060275,-4.47%
X-CASH,"$1,293,104",$0.000023,-2.26%
e-Gulden,"$1,292,127",$0.075401,0.39%
Coineal Token,"$1,291,437",$0.004634,-5.27%
Amoveo,"$1,286,026",$18.90,-9.30%
Kambria,"$1,284,051",$0.001043,-0.85%
ATC Coin,"$1,282,928",$0.003296,8.36%
Ambrosus,"$1,278,860",$0.014661,10.54%
Tolar,"$1,271,952",$0.005035,2.10%
HOMIHELP,"$1,269,314",$9.76,0.66%
Blockchain Certified Data Token,"$1,257,980",$0.034362,-0.92%
Sapien,"$1,255,501",$0.005423,-11.28%
LikeCoin,"$1,248,692",$0.003660,0.04%
Banca,"$1,245,873",$0.000069,-0.11%
SpaceChain,"$1,238,725",$0.002401,-4.31%
IHT Real Estate Protocol,"$1,232,025",$0.001246,7.20%
DEEX,"$1,231,467",$0.021785,128.51%
CommerceBlock,"$1,230,573",$0.007037,1.75%
Education Ecosystem,"$1,226,280",$0.005512,17.17%
Sakura Bloom,"$1,223,122",$0.000474,-33.45%
ATLANT,"$1,219,433",$0.022509,-3.60%
iEthereum,"$1,217,708",$0.067718,-3.10%
CoinPoker,"$1,212,851",$0.004500,0.03%
BOScoin,"$1,199,360",$0.001385,2.43%
Substratum,"$1,190,818",$0.003109,1.89%
PayBX,"$1,187,649",$0.004237,4.22%
I/O Coin,"$1,171,949",$0.064148,3.33%
Pandacoin,"$1,170,270",$0.000036,-14.43%
Stronghold Token,"$1,166,521",$0.000357,0.00%
Global Digital Content,"$1,155,208",$0.000360,-3.43%
Tixl,"$1,152,508",$24.09,9.90%
Hashshare,"$1,151,907",$0.012267,0.00%
NEXT.coin,"$1,146,997",$0.184145,51.44%
Espers,"$1,144,367",$0.000050,19.51%
Bismuth,"$1,142,371",$0.083148,-4.27%
Streamity,"$1,137,307",$0.021595,-22.67%
Rubycoin,"$1,137,077",$0.041196,0.00%
SonoCoin,"$1,127,577",$0.039914,-0.20%
indaHash,"$1,126,292",$0.002816,7.36%
Azbit,"$1,124,942",$0.000014,5.08%
Wownero,"$1,124,464",$0.031592,10.12%
TEMCO,"$1,124,153",$0.000344,12.97%
ROAD,"$1,122,094",$0.014150,1.97%
Ivy,"$1,121,884",$0.001226,0.00%
Asian Fintech,"$1,119,814",$0.004479,-2.72%
Terracoin,"$1,117,880",$0.048740,-2.89%
AI Doctor,"$1,112,460",$0.001987,1.45%
SmileyCoin,"$1,107,692",$0.000070,20.69%
Flixxo,"$1,105,052",$0.013105,14.92%
RealTract,"$1,102,617",$0.000104,10.34%
42-coin,"$1,100,452","$26,201.28",-0.94%
Veil,"$1,099,202",$0.014954,-4.80%
Banano,"$1,095,971",$0.001031,-7.50%
Dinastycoin,"$1,093,604",$0.000554,0.22%
FNKOS,"$1,092,910",$0.007016,0.00%
Raven Protocol,"$1,089,455",$0.000259,-20.64%
Hashgard,"$1,081,002",$0.000016,8.46%
Fountain,"$1,076,227",$0.012137,0.65%
PetroDollar,"$1,074,371",$0.016789,0.00%
PAC Global,"$1,058,670",$0.000139,-5.03%
Switch,"$1,051,560",$0.092734,-1.10%
Egoras Dollar,"$1,050,474",$0.138028,0.00%
TRONCLASSIC,"$1,049,302",$0.000002,0.00%
Dynamic,"$1,048,720",$0.069774,28.61%
Primecoin,"$1,045,605",$0.032213,24.96%
QChi,"$1,040,957",$0.032037,4.03%
Traceability Chain,"$1,038,864",$0.001208,-49.23%
Omni,"$1,038,354",$1.85,16.54%
Rise,"$1,036,152",$0.006738,1.81%
NuBits,"$1,015,906",$0.092509,-5.80%
Footballcoin,"$1,011,565",$0.002700,-0.21%
SafeCoin,"$1,011,173",$0.036458,-0.58%
Ubex,"$1,010,091",$0.000318,6.50%
Axe,"$1,010,074",$0.191994,1.54%
CPChain,"$1,008,346",$0.002676,2.10%
HyperExchange,"$1,002,970",$0.016881,1.72%
Opacity,"$998,704",$0.007723,3.87%
DreamTeam Token,"$995,627",$0.027247,3.59%
MonetaryUnit,"$991,279",$0.005076,2.24%
ZelaaPayAE,"$990,959",$0.007631,-22.19%
DomRaider,"$984,249",$0.001664,24.22%
AIDUS TOKEN,"$982,930",$0.002245,4.60%
TurtleCoin,"$982,039",$0.000013,4.63%
Datum,"$970,657",$0.000969,1.38%
Aventus,"$967,182",$0.161197,-4.40%
NoLimitCoin,"$965,652",$0.001572,-9.82%
Halo Platform,"$963,824",$0.000156,6.01%
BIZZCOIN,"$958,897",$0.599855,-2.70%
Nexty,"$957,808",$0.000006,-14.89%
Zenswap Network Token,"$956,659",$0.000080,0.00%
Medicalchain,"$954,892",$0.003092,4.00%
UNIVERSAL CASH,"$951,494",$0.000092,0.00%
CloakCoin,"$944,122",$0.172353,-2.86%
MobileGo,"$943,561",$0.009436,-0.44%
eosDAC,"$941,542",$0.001425,0.64%
Debitum,"$940,822",$0.004712,13.64%
Blockport,"$935,301",$0.016152,0.96%
EXRNchain,"$925,401",$0.000010,-0.07%
NuShares,"$923,677",$0.000333,-4.55%
Bitcoin Confidential,"$920,011",$0.000125,2.35%
HoryouToken,"$916,904",$0.000842,-0.42%
Edgeless,"$910,394",$0.007778,-0.63%
Edgeless,"$910,396",$0.007778,-0.63%
SnowGem,"$902,378",$0.034134,20.38%
Electronic Energy Coin,"$898,685",$0.002072,-12.30%
SpankChain,"$889,802",$0.002966,14.91%
Open Platform,"$887,844",$0.000839,3.10%
Okschain,"$887,499",$0.000782,-25.35%
2key.network,"$882,877",$0.044276,-6.55%
PLANET,"$881,747",$0.044109,5.33%
FREE Coin,"$881,295",$1.01e-7,20.18%
MB8 Coin,"$877,852",$0.005446,1.34%
ZeuxCoin,"$873,163",$0.004596,0.44%
ICNQ Token,"$867,978",$0.224971,0.00%
Noku,"$860,151",$0.036176,-0.49%
Mindexcoin,"$859,286",$0.001257,0.00%
Plair,"$858,286",$0.000043,6.36%
LHT,"$856,405",$0.017128,0.03%
IG Gold,"$855,502",$0.000097,-4.75%
Diamond,"$854,667",$0.244219,5.24%
Humaniq,"$846,608",$0.004556,0.23%
BOMB,"$846,512",$0.919905,-0.78%
PUBLISH,"$843,139",$0.003382,-14.74%
Titan Coin,"$836,504",$0.000920,2.81%
Nework,"$833,237",$0.005646,-0.07%
ToaCoin,"$830,145",$0.000092,0.22%
Ormeus Coin,"$825,520",$0.022992,3.67%
Pigeoncoin,"$819,802",$0.000145,-7.56%
DeepOnion,"$817,527",$0.050724,-0.75%
HashBX ,"$815,067",$0.001295,22.50%
Zero,"$813,156",$0.097634,-5.82%
BonusCloud,"$811,228",$0.000271,17.58%
Experty,"$807,983",$0.029828,0.56%
Conceal,"$803,786",$0.100808,3.76%
GeoCoin,"$802,897",$0.252440,0.26%
Semux,"$800,238",$0.062950,12.65%
Dovu,"$800,035",$0.001751,-17.03%
Scala,"$799,012",$0.000093,-24.47%
GoldMint,"$795,003",$0.415146,7.36%
Delphy,"$794,094",$0.012767,0.56%
Blocktrade Token,"$793,302",$0.014229,0.67%
SolarCoin,"$785,746",$0.013014,11.92%
ADAMANT Messenger,"$785,374",$0.009285,-5.99%
EncrypGen,"$785,130",$0.011713,-0.23%
Block-Chain.com,"$783,543",$0.003784,-12.53%
COVA,"$782,409",$0.000313,-1.17%
EUNO,"$770,499",$0.021690,5.69%
MEET.ONE,"$768,785",$0.000402,3.86%
STK,"$765,477",$0.002242,8.01%
Eden,"$764,422",$0.001274,1.00%
SHIELD,"$762,291",$0.001486,14.93%
PayPie,"$761,472",$0.009230,16.74%
Bitswift,"$758,481",$0.195251,1.73%
Matryx,"$758,113",$0.032643,0.43%
StrongHands Masternode,"$758,020",$0.340794,129.44%
EchoLink,"$754,766",$0.001510,3.20%
Sessia,"$751,988",$0.111352,14.47%
PAYCENT,"$743,045",$0.008710,0.69%
Bitsdaq,"$742,938",$0.000277,0.01%
Ecobit,"$741,891",$0.001669,0.00%
Lunes,"$739,724",$0.004908,-6.91%
Digital Gold,"$735,871",$54.34,-1.38%
SafeCapital,"$735,578",$0.434973,0.69%
FuzeX,"$729,595",$0.000797,5.94%
VegaWallet Token,"$723,739",$0.045042,8.19%
Rapids,"$722,531",$0.000074,-13.28%
Amon,"$714,552",$0.001190,0.22%
KickToken,"$712,876",$0.000012,-8.16%
MalwareChain,"$712,061",$0.311059,2.76%
StableUSD,"$711,826",$0.982670,2.38%
Ether Zero,"$710,173",$0.004148,-6.33%
Brickblock,"$708,509",$0.009430,0.00%
Beetle Coin,"$704,772",$0.003040,-1.32%
YGGDRASH,"$701,740",$0.000129,-12.95%
Moneytoken,"$695,524",$0.000074,-2.31%
Merculet,"$688,603",$0.000167,-3.28%
Stox,"$684,170",$0.013304,-1.74%
Carboneum [C8] Token,"$682,221",$0.013193,0.00%
Pirl,"$673,400",$0.009061,23.48%
MARK.SPACE,"$673,343",$0.000836,0.00%
FintruX Network,"$665,669",$0.007007,2.39%
Cappasity,"$665,341",$0.001224,2.34%
Pinkcoin,"$658,027",$0.001569,3.16%
Business Credit Substitute,"$657,995",$0.370553,-2.35%
CannabisCoin,"$655,814",$0.008492,-21.87%
Nexxo,"$654,756",$0.003050,0.25%
Webflix Token,"$654,283",$0.000276,0.00%
TurtleNetwork,"$653,761",$0.007401,40.05%
LUKSO,"$653,402",$0.225311,0.05%
HEAT,"$645,284",$0.014122,-24.01%
PHI Token,"$643,494",$0.110409,-0.52%
BitNewChain,"$643,226",$0.003579,0.00%
Auroracoin,"$641,530",$0.035486,-0.17%
Zebi Token,"$641,124",$0.001512,-0.14%
Mercury,"$636,868",$0.006369,-4.29%
Neurotoken,"$635,188",$0.008050,11.05%
0xBitcoin,"$634,548",$0.110615,0.47%
LUXCoin,"$631,098",$0.067758,-1.35%
Rate3,"$629,377",$0.000708,2.23%
Merebel,"$626,144",$0.101067,9.39%
NeoWorld Cash,"$620,000",$0.000027,-0.06%
